Brand Name;2023 Final scores - SECTION 4;2023 FINAL PERCENTAGES -  SECTION 4;2022 Final scores - SECTION 5;2022 FINAL PERCENTAGES -  SECTION 5;% change in score 2022-2023;2021 Final scores - SECTION 5;2021 FINAL PERCENTAGES -  SECTION 5;% change in score 2021-2023;2020 Final scores - SECTION 5;2020 FINAL PERCENTAGES -  SECTION 5;% change in score 2020-2023;2019 Final scores - SECTION 5;2019 FINAL PERCENTAGES -  SECTION 5;% change in score 2019-2023;2018 Final scores - SECTION 5;2018 FINAL PERCENTAGES -  SECTION 5;% change in score 2018-2023;2017 Final scores  - SECTION 5;2017 FINAL PERCENTAGES - SECTION 5;% change in score 2017-2023;;;;;;;;;;;;;;;;;
Abercrombie & Fitch;10;11,11%;9;10,84%;0,27%;10;12,05%;-0,94%;8;16,33%;-5%;4;11,76%;-0,65%;1;3,33%;7,78%;0;0,00%;11,11%;;;;;;;;;;;;;;;;;
Adidas;35;38,89%;26;31,33%;7,56%;32;38,55%;0,33%;29;59,18%;-20%;20;58,82%;-19,93%;15;50,00%;-11,11%;6;21,43%;17,46%;;;;;;;;;;;;;;;;;
Aeropostale;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
AJIO;1;1,11%;2;2,41%;-1,30%;2;2,41%;-1,30%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
ALDI Nord;14;15,56%;14;16,87%;-1,31%;12;14,46%;1,10%;8;16,33%;-1%;4;11,76%;3,79%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDI SOUTH;20;22,22%;16;19,28%;2,95%;15;18,07%;4,15%;8;16,33%;6%;4;11,76%;10,46%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
ALDO;4;4,44%;6;7,23%;-2,78%;8;9,64%;-5,19%;5;10,20%;-6%;4;11,76%;-7,32%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Amazon;13;14,44%;20;24,10%;-9,65%;15;18,07%;-3,63%;6;12,24%;2%;2;5,88%;8,56%;0;0,00%;14,44%;0;0,00%;14,44%;;;;;;;;;;;;;;;;;
American Eagle;24;26,67%;17;20,48%;6,18%;10;12,05%;14,62%;7;14,29%;12%;4;11,76%;14,90%;3;10,00%;16,67%;0;0,00%;26,67%;;;;;;;;;;;;;;;;;
ANTA;0;0,00%;3;3,61%;-3,61%;4;4,82%;-4,82%;3;6,12%;-6%;4;11,76%;-11,76%;1;3,33%;-3,33%;;;#VALUE!;;;;;;;;;;;;;;;;;
Anthropologie;11;12,22%;14;16,87%;-4,65%;15;18,07%;-5,85%;3;6,12%;6%;0;0,00%;12,22%;0;0,00%;12,22%;0;0,00%;12,22%;;;;;;;;;;;;;;;;;
Aritzia;14;15,56%;12;14,46%;1,10%;17;20,48%;-4,93%;7;14,29%;1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Armani;19;21,11%;14;16,87%;4,24%;7;8,43%;12,68%;1;2,04%;19%;0;0,00%;21,11%;0;0,00%;21,11%;0;0,00%;21,11%;;;;;;;;;;;;;;;;;
Asda;11;12,22%;11;13,25%;-1,03%;22;26,51%;-14,28%;13;26,53%;-14%;13;38,24%;-26,01%;5;16,67%;-4,44%;0;0,00%;12,22%;;;;;;;;;;;;;;;;;
ASICS;28;31,11%;22;26,51%;4,61%;28;33,73%;-2,62%;15;30,61%;0%;8;23,53%;7,58%;2;6,67%;24,44%;3;10,71%;20,40%;;;;;;;;;;;;;;;;;
ASOS;28;31,11%;31;37,35%;-6,24%;20;24,10%;7,01%;21;42,86%;-12%;19;55,88%;-24,77%;14;46,67%;-15,56%;8;28,57%;2,54%;;;;;;;;;;;;;;;;;
Balenciaga;51;56,67%;44;53,01%;3,65%;39;46,99%;9,68%;22;44,90%;12%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bally;17;18,89%;11;13,25%;5,64%;14;16,87%;2,02%;0;0,00%;19%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Banana Republic;34;37,78%;27;32,53%;5,25%;29;34,94%;2,84%;16;32,65%;5%;13;38,24%;-0,46%;6;20,00%;17,78%;5;17,86%;19,92%;;;;;;;;;;;;;;;;;
BCBGMAXAZRIA;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Beanpole;5;5,56%;5;6,02%;-0,47%;5;6,02%;-0,47%;3;6,12%;-1%;0;0,00%;5,56%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Belle;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bershka;52;57,78%;45;54,22%;3,56%;35;42,17%;15,61%;22;44,90%;13%;20;58,82%;-1,05%;16;53,33%;4,44%;9;32,14%;25,63%;;;;;;;;;;;;;;;;;
Big Bazaar - ffb;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Big W;15;16,67%;15;18,07%;-1,41%;10;12,05%;4,62%;5;10,20%;6%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Billabong;0;0,00%;1;1,20%;-1,20%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bloomingdale's;4;4,44%;1;1,20%;3,24%;2;2,41%;2,03%;2;4,08%;0%;1;2,94%;1,50%;2;6,67%;-2,22%;;;#VALUE!;;;;;;;;;;;;;;;;;
Bonprix;10;11,11%;12;14,46%;-3,35%;14;16,87%;-5,76%;7;14,29%;-3%;8;23,53%;-12,42%;3;10,00%;1,11%;;;#VALUE!;;;;;;;;;;;;;;;;;
boohoo;19;21,11%;22;26,51%;-5,39%;7;8,43%;12,68%;4;8,16%;13%;4;11,76%;9,35%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bosideng;0;0,00%;1;1,20%;-1,20%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Bottega Veneta;51;56,67%;43;51,81%;4,86%;38;45,78%;10,88%;21;42,86%;14%;16;47,06%;9,61%;8;26,67%;30,00%;4;14,29%;42,38%;;;;;;;;;;;;;;;;;
Brooks Sport;19;21,11%;17;20,48%;0,63%;18;21,69%;-0,58%;9;18,37%;3%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Brunello Cucinelli;8;8,89%;12;14,46%;-5,57%;4;4,82%;4,07%;5;10,20%;-1%;6;17,65%;-8,76%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Buckle;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Burberry;39;43,33%;38;45,78%;-2,45%;33;39,76%;3,57%;22;44,90%;-2%;15;44,12%;-0,78%;11;36,67%;6,67%;3;10,71%;32,62%;;;;;;;;;;;;;;;;;
Burlington;8;8,89%;6;7,23%;1,66%;10;12,05%;-3,16%;4;8,16%;1%;0;0,00%;8,89%;0;0,00%;8,89%;0;0,00%;8,89%;;;;;;;;;;;;;;;;;
C&A;47;52,22%;36;43,37%;8,85%;36;43,37%;8,85%;25;51,02%;1%;19;55,88%;-3,66%;9;30,00%;22,22%;5;17,86%;34,37%;;;;;;;;;;;;;;;;;
Calvin Klein;34;37,78%;29;34,94%;2,84%;35;42,17%;-4,39%;23;46,94%;-9%;11;32,35%;5,42%;6;20,00%;17,78%;6;21,43%;16,35%;;;;;;;;;;;;;;;;;
Calzedonia;36;40,00%;34;40,96%;-0,96%;9;10,84%;29,16%;2;4,08%;36%;0;0,00%;40,00%;0;0,00%;40,00%;0;0,00%;40,00%;;;;;;;;;;;;;;;;;
Canada Goose;11;12,22%;7;8,43%;3,79%;5;6,02%;6,20%;1;2,04%;10%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Carhartt;2;2,22%;1;1,20%;1,02%;0;0,00%;2,22%;0;0,00%;2%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Carolina Herrera;12;13,33%;1;1,20%;12,13%;12;14,46%;-1,12%;4;8,16%;5%;2;5,88%;7,45%;0;0,00%;13,33%;;;#VALUE!;;;;;;;;;;;;;;;;;
CAROLL;1;1,11%;3;3,61%;-2,50%;6;7,23%;-6,12%;5;10,20%;-9%;0;0,00%;1,11%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Carrefour;5;5,56%;10;12,05%;-6,49%;11;13,25%;-7,70%;5;10,20%;-5%;2;5,88%;-0,33%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Carter's;22;24,44%;15;18,07%;6,37%;3;3,61%;20,83%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
CELINE;27;30,00%;26;31,33%;-1,33%;9;10,84%;19,16%;11;22,45%;8%;12;35,29%;-5,29%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
celio;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Champion;28;31,11%;10;12,05%;19,06%;27;32,53%;-1,42%;10;20,41%;11%;6;17,65%;13,46%;0;0,00%;31,11%;4;14,29%;16,83%;;;;;;;;;;;;;;;;;
Chanel;12;13,33%;13;15,66%;-2,33%;6;7,23%;6,10%;3;6,12%;7%;5;14,71%;-1,37%;1;3,33%;10,00%;0;0,00%;13,33%;;;;;;;;;;;;;;;;;
Chico's;4;4,44%;2;2,41%;2,03%;2;2,41%;2,03%;0;0,00%;4%;0;0,00%;4,44%;0;0,00%;4,44%;0;0,00%;4,44%;;;;;;;;;;;;;;;;;
Chloé;22;24,44%;18;21,69%;2,76%;11;13,25%;11,19%;4;8,16%;16%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Clarks;6;6,67%;6;7,23%;-0,56%;7;8,43%;-1,77%;9;18,37%;-12%;4;11,76%;-5,10%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
COACH;38;42,22%;22;26,51%;15,72%;17;20,48%;21,74%;7;14,29%;28%;8;23,53%;18,69%;1;3,33%;38,89%;0;0,00%;42,22%;;;;;;;;;;;;;;;;;
Columbia Sportswear;11;12,22%;18;21,69%;-9,46%;13;15,66%;-3,44%;12;24,49%;-12%;2;5,88%;6,34%;2;6,67%;5,56%;0;0,00%;12,22%;;;;;;;;;;;;;;;;;
Converse;35;38,89%;39;46,99%;-8,10%;40;48,19%;-9,30%;25;51,02%;-12%;15;44,12%;-5,23%;6;20,00%;18,89%;6;21,43%;17,46%;;;;;;;;;;;;;;;;;
Cortefiel;14;15,56%;10;12,05%;3,51%;5;6,02%;9,53%;3;6,12%;9%;2;5,88%;9,67%;2;6,67%;8,89%;;;#VALUE!;;;;;;;;;;;;;;;;;
Costco;3;3,33%;4;4,82%;-1,49%;4;4,82%;-1,49%;4;8,16%;-5%;4;11,76%;-8,43%;2;6,67%;-3,33%;0;0,00%;3,33%;;;;;;;;;;;;;;;;;
Cotton On;11;12,22%;9;10,84%;1,38%;2;2,41%;9,81%;5;10,20%;2%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Decathlon;25;27,78%;18;21,69%;6,09%;21;25,30%;2,48%;14;28,57%;-1%;8;23,53%;4,25%;3;10,00%;17,78%;;;#VALUE!;;;;;;;;;;;;;;;;;
Deichmann;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Desigual;13;14,44%;12;14,46%;-0,01%;8;9,64%;4,81%;6;12,24%;2%;0;0,00%;14,44%;0;0,00%;14,44%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dick's Sporting Goods;5;5,56%;5;6,02%;-0,47%;10;12,05%;-6,49%;2;4,08%;1%;0;0,00%;5,56%;0;0,00%;5,56%;;;#VALUE!;;;;;;;;;;;;;;;;;
Diesel;15;16,67%;3;3,61%;13,05%;2;2,41%;14,26%;2;4,08%;13%;1;2,94%;13,73%;1;3,33%;13,33%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dillard's;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;1;2,04%;-2%;1;2,94%;-2,94%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Dior;26;28,89%;26;31,33%;-2,44%;9;10,84%;18,05%;12;24,49%;4%;13;38,24%;-9,35%;0;0,00%;28,89%;0;0,00%;28,89%;;;;;;;;;;;;;;;;;
Disney;6;6,67%;5;6,02%;0,64%;4;4,82%;1,85%;3;6,12%;1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
DKNY;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Dolce & Gabbana;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Dr. Martens;24;26,67%;13;15,66%;11,00%;4;4,82%;21,85%;2;4,08%;23%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Dressmann;35;38,89%;25;30,12%;8,77%;20;24,10%;14,79%;7;14,29%;25%;9;26,47%;12,42%;3;10,00%;28,89%;;;#VALUE!;;;;;;;;;;;;;;;;;
DSW;3;3,33%;3;3,61%;-0,28%;3;3,61%;-0,28%;1;2,04%;1%;1;2,94%;0,39%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Eddie Bauer;2;2,22%;5;6,02%;-3,80%;1;1,20%;1,02%;0;0,00%;2%;0;0,00%;2,22%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
El Corte Inglés;15;16,67%;16;19,28%;-2,61%;18;21,69%;-5,02%;10;20,41%;-4%;7;20,59%;-3,92%;4;13,33%;3,33%;;;#VALUE!;;;;;;;;;;;;;;;;;
Ermenegildo Zegna;19;21,11%;10;12,05%;9,06%;4;4,82%;16,29%;0;0,00%;21%;0;0,00%;21,11%;0;0,00%;21,11%;0;0,00%;21,11%;;;;;;;;;;;;;;;;;
Esprit;15;16,67%;27;32,53%;-15,86%;27;32,53%;-15,86%;19;38,78%;-22%;15;44,12%;-27,45%;7;23,33%;-6,67%;4;14,29%;2,38%;;;;;;;;;;;;;;;;;
Express;2;2,22%;0;0,00%;2,22%;0;0,00%;2,22%;0;0,00%;2%;0;0,00%;2,22%;0;0,00%;2,22%;0;0,00%;2,22%;;;;;;;;;;;;;;;;;
Fabletics;2;2,22%;#N/A;#VALUE!;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Falabella;9;10,00%;10;12,05%;-2,05%;9;10,84%;-0,84%;4;8,16%;2%;6;17,65%;-7,65%;3;10,00%;0,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Famous Footwear;7;7,78%;6;7,23%;0,55%;0;0,00%;7,78%;0;0,00%;8%;0;0,00%;7,78%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fanatics;3;3,33%;2;2,41%;0,92%;1;1,20%;2,13%;0;0,00%;3%;2;5,88%;-2,55%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fashion Nova;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fendi;33;36,67%;32;38,55%;-1,89%;13;15,66%;21,00%;10;20,41%;16%;12;35,29%;1,37%;2;6,67%;30,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Fila;8;8,89%;3;3,61%;5,27%;1;1,20%;7,68%;2;4,08%;5%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fjällräven;25;27,78%;13;15,66%;12,12%;20;24,10%;3,68%;14;28,57%;-1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Foot Locker;7;7,78%;4;4,82%;2,96%;2;2,41%;5,37%;1;2,04%;6%;0;0,00%;7,78%;0;0,00%;7,78%;;;#VALUE!;;;;;;;;;;;;;;;;;
Foschini;8;8,89%;14;16,87%;-7,98%;10;12,05%;-3,16%;6;12,24%;-3%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fossil;8;8,89%;3;3,61%;5,27%;4;4,82%;4,07%;4;8,16%;1%;2;5,88%;3,01%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Free People;11;12,22%;14;16,87%;-4,65%;15;18,07%;-5,85%;4;8,16%;4%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Fruit of the Loom;20;22,22%;26;31,33%;-9,10%;21;25,30%;-3,08%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Furla;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
G-Star RAW;22;24,44%;17;20,48%;3,96%;14;16,87%;7,58%;10;20,41%;4%;10;29,41%;-4,97%;8;26,67%;-2,22%;;;#VALUE!;;;;;;;;;;;;;;;;;
Gap;34;37,78%;27;32,53%;5,25%;29;34,94%;2,84%;16;32,65%;5%;13;38,24%;-0,46%;6;20,00%;17,78%;5;17,86%;19,92%;;;;;;;;;;;;;;;;;
Gerry Weber;3;3,33%;0;0,00%;3,33%;0;0,00%;3,33%;1;2,04%;1%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Gildan;28;31,11%;28;33,73%;-2,62%;30;36,14%;-5,03%;14;28,57%;3%;12;35,29%;-4,18%;7;23,33%;7,78%;6;21,43%;9,68%;;;;;;;;;;;;;;;;;
GU;37;41,11%;40;48,19%;-7,08%;27;32,53%;8,58%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
Gucci;61;67,78%;57;68,67%;-0,90%;55;66,27%;1,51%;25;51,02%;17%;18;52,94%;14,84%;8;26,67%;41,11%;5;17,86%;49,92%;;;;;;;;;;;;;;;;;
GUESS;20;22,22%;21;25,30%;-3,08%;6;7,23%;14,99%;8;16,33%;6%;9;26,47%;-4,25%;4;13,33%;8,89%;0;0,00%;22,22%;;;;;;;;;;;;;;;;;
Gymshark;10;11,11%;#N/A;#VALUE!;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
H&M;58;64,44%;51;61,45%;3,00%;45;54,22%;10,23%;31;63,27%;1%;24;70,59%;-6,14%;15;50,00%;14,44%;13;46,43%;18,02%;;;;;;;;;;;;;;;;;
Hanes;28;31,11%;10;12,05%;19,06%;27;32,53%;-1,42%;10;20,41%;11%;6;17,65%;13,46%;0;0,00%;31,11%;4;14,29%;16,83%;;;;;;;;;;;;;;;;;
Heilan Home;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Helly Hansen;8;8,89%;10;12,05%;-3,16%;15;18,07%;-9,18%;8;16,33%;-7%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
HEMA;2;2,22%;1;1,20%;1,02%;4;4,82%;-2,60%;4;8,16%;-6%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Hermès;17;18,89%;17;20,48%;-1,59%;22;26,51%;-7,62%;11;22,45%;-4%;12;35,29%;-16,41%;6;20,00%;-1,11%;0;0,00%;18,89%;;;;;;;;;;;;;;;;;
Hollister Co.;10;11,11%;9;10,84%;0,27%;10;12,05%;-0,94%;8;16,33%;-5%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Hudson's Bay;0;0,00%;3;3,61%;-3,61%;1;1,20%;-1,20%;1;2,04%;-2%;2;5,88%;-5,88%;0;0,00%;0,00%;0;0,00%;0,00%;;;;;;;;;;;;;;;;;
Hugo Boss;39;43,33%;32;38,55%;4,78%;16;19,28%;24,06%;12;24,49%;19%;11;32,35%;10,98%;5;16,67%;26,67%;7;25,00%;18,33%;;;;;;;;;;;;;;;;;
Intimissimi;36;40,00%;34;40,96%;-0,96%;9;10,84%;29,16%;2;4,08%;36%;0;0,00%;40,00%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Ito-Yokado;3;3,33%;5;6,02%;-2,69%;5;6,02%;-2,69%;4;8,16%;-5%;5;14,71%;-11,37%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Jack & Jones;19;21,11%;25;30,12%;-9,01%;12;14,46%;6,65%;7;14,29%;7%;10;29,41%;-8,30%;3;10,00%;11,11%;0;0,00%;21,11%;;;;;;;;;;;;;;;;;
Jack Wolfskin;8;8,89%;9;10,84%;-1,95%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
JD Sports;16;17,78%;13;15,66%;2,12%;15;18,07%;-0,29%;7;14,29%;3%;4;11,76%;6,01%;2;6,67%;11,11%;;;#VALUE!;;;;;;;;;;;;;;;;;
Jil Sander;10;11,11%;0;0,00%;11,11%;4;4,82%;6,29%;3;6,12%;5%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Jockey;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Joe Fresh;11;12,22%;8;9,64%;2,58%;5;6,02%;6,20%;3;6,12%;6%;1;2,94%;9,28%;0;0,00%;12,22%;;;#VALUE!;;;;;;;;;;;;;;;;;
John Lewis;26;28,89%;26;31,33%;-2,44%;21;25,30%;3,59%;14;28,57%;0%;12;35,29%;-6,41%;5;16,67%;12,22%;;;#VALUE!;;;;;;;;;;;;;;;;;
Jordan;35;38,89%;39;46,99%;-8,10%;40;48,19%;-9,30%;25;51,02%;-12%;15;44,12%;-5,23%;6;20,00%;18,89%;6;21,43%;17,46%;;;;;;;;;;;;;;;;;
K-Way;0;0,00%;0;0,00%;0,00%;0;0,00%;0,00%;0;0,00%;0%;1;2,94%;-2,94%;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Kate Spade;36;40,00%;18;21,69%;18,31%;17;20,48%;19,52%;7;14,29%;26%;6;17,65%;22,35%;0;0,00%;40,00%;;;#VALUE!;;;;;;;;;;;;;;;;;
Kathmandu;7;7,78%;8;9,64%;-1,86%;10;12,05%;-4,27%;8;16,33%;-9%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Kaufland;2;2,22%;9;10,84%;-8,62%;5;6,02%;-3,80%;6;12,24%;-10%;;;#VALUE!;;;#VALUE!;;;#VALUE!;;;;;;;;;;;;;;;;;
Kiabi;13;14,44%;14;16,87%;-2,42%;15;18,07%;-3,63%;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;
KiK;4;4,44%;0;0,00%;4,44%;4;4,82%;-0,37%;4;8,16%;-4%;4;11,76%;-7,32%;2;6,67%;-2,22%;;;#VALUE!;;;;;;;;;;;;;;;;;
